,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
0,22603.0,2025-03-12 09:15:00,NFO,27-MAR-2025,22616.35,22592.4,22600.0,17582925,Futures,NIFTY,109350
1,22609.4,2025-03-12 09:16:00,NFO,27-MAR-2025,22609.4,22590.0,22603.0,17582925,Futures,NIFTY,78975
2,22612.0,2025-03-12 09:17:00,NFO,27-MAR-2025,22612.4,22600.5,22609.4,17582925,Futures,NIFTY,60225
3,22612.7,2025-03-12 09:18:00,NFO,27-MAR-2025,22614.95,22607.0,22613.2,17595525,Futures,NIFTY,57750
4,22586.0,2025-03-12 09:19:00,NFO,27-MAR-2025,22610.1,22585.75,22610.1,17595525,Futures,NIFTY,29925
5,22554.65,2025-03-12 09:20:00,NFO,27-MAR-2025,22584.95,22553.1,22584.95,17595525,Futures,NIFTY,56550
6,22555.4,2025-03-12 09:21:00,NFO,27-MAR-2025,22563.05,22545.95,22558.05,17643600,Futures,NIFTY,63000
7,22546.75,2025-03-12 09:22:00,NFO,27-MAR-2025,22557.8,22543.0,22555.85,17643600,Futures,NIFTY,42375
8,22557.95,2025-03-12 09:23:00,NFO,27-MAR-2025,22559.75,22546.75,22546.75,17643600,Futures,NIFTY,33075
9,22566.5,2025-03-12 09:24:00,NFO,27-MAR-2025,22571.75,22559.0,22559.0,17673150,Futures,NIFTY,41475
10,22544.5,2025-03-12 09:25:00,NFO,27-MAR-2025,22568.25,22544.5,22566.5,17673150,Futures,NIFTY,28275
11,22531.9,2025-03-12 09:26:00,NFO,27-MAR-2025,22541.9,22525.95,22541.9,17673150,Futures,NIFTY,67575
12,22516.95,2025-03-12 09:27:00,NFO,27-MAR-2025,22534.9,22513.85,22532.0,17693775,Futures,NIFTY,59850
13,22512.15,2025-03-12 09:28:00,NFO,27-MAR-2025,22521.0,22511.6,22517.0,17693775,Futures,NIFTY,30450
14,22512.05,2025-03-12 09:29:00,NFO,27-MAR-2025,22525.0,22512.05,22514.25,17693775,Futures,NIFTY,28050
15,22506.5,2025-03-12 09:30:00,NFO,27-MAR-2025,22513.65,22501.0,22512.05,17683125,Futures,NIFTY,82050
16,22512.45,2025-03-12 09:31:00,NFO,27-MAR-2025,22519.95,22510.05,22512.35,17683125,Futures,NIFTY,32025
17,22512.0,2025-03-12 09:32:00,NFO,27-MAR-2025,22515.0,22500.5,22510.0,17683125,Futures,NIFTY,36075
18,22510.5,2025-03-12 09:33:00,NFO,27-MAR-2025,22511.95,22505.3,22511.95,17706600,Futures,NIFTY,17025
19,22511.05,2025-03-12 09:34:00,NFO,27-MAR-2025,22517.75,22505.45,22511.0,17706600,Futures,NIFTY,43725
20,22506.0,2025-03-12 09:35:00,NFO,27-MAR-2025,22516.15,22495.0,22516.15,17706600,Futures,NIFTY,49725
21,22517.35,2025-03-12 09:36:00,NFO,27-MAR-2025,22517.35,22501.3,22506.0,17704275,Futures,NIFTY,24525
22,22524.65,2025-03-12 09:37:00,NFO,27-MAR-2025,22536.55,22515.0,22515.0,17704275,Futures,NIFTY,47400
23,22527.0,2025-03-12 09:38:00,NFO,27-MAR-2025,22527.8,22520.05,22524.65,17704275,Futures,NIFTY,15075
24,22533.0,2025-03-12 09:39:00,NFO,27-MAR-2025,22539.0,22526.95,22527.85,17630850,Futures,NIFTY,17250
25,22532.0,2025-03-12 09:40:00,NFO,27-MAR-2025,22535.0,22522.0,22533.0,17630850,Futures,NIFTY,11025
26,22540.0,2025-03-12 09:41:00,NFO,27-MAR-2025,22545.4,22531.95,22532.0,17630850,Futures,NIFTY,27300
27,22539.4,2025-03-12 09:42:00,NFO,27-MAR-2025,22540.85,22527.95,22539.9,17635200,Futures,NIFTY,17250
28,22536.9,2025-03-12 09:43:00,NFO,27-MAR-2025,22543.7,22534.55,22540.0,17635200,Futures,NIFTY,19050
29,22520.95,2025-03-12 09:44:00,NFO,27-MAR-2025,22538.55,22515.0,22535.05,17635200,Futures,NIFTY,25650
30,22507.85,2025-03-12 09:45:00,NFO,27-MAR-2025,22521.55,22487.0,22521.55,17649000,Futures,NIFTY,71400
31,22505.05,2025-03-12 09:46:00,NFO,27-MAR-2025,22523.6,22505.0,22506.05,17649000,Futures,NIFTY,18150
32,22516.0,2025-03-12 09:47:00,NFO,27-MAR-2025,22516.0,22504.35,22504.35,17649000,Futures,NIFTY,13725
33,22536.1,2025-03-12 09:48:00,NFO,27-MAR-2025,22536.1,22514.45,22516.0,17641950,Futures,NIFTY,18675
34,22548.0,2025-03-12 09:49:00,NFO,27-MAR-2025,22555.9,22541.0,22541.0,17641950,Futures,NIFTY,29850
35,22558.5,2025-03-12 09:50:00,NFO,27-MAR-2025,22559.0,22545.05,22547.4,17641950,Futures,NIFTY,18450
36,22554.0,2025-03-12 09:51:00,NFO,27-MAR-2025,22559.0,22552.1,22557.05,17641500,Futures,NIFTY,17850
37,22552.0,2025-03-12 09:52:00,NFO,27-MAR-2025,22555.0,22545.0,22553.25,17641500,Futures,NIFTY,8625
38,22545.0,2025-03-12 09:53:00,NFO,27-MAR-2025,22558.95,22545.0,22553.05,17641500,Futures,NIFTY,7725
39,22535.15,2025-03-12 09:54:00,NFO,27-MAR-2025,22548.3,22535.15,22546.75,17643675,Futures,NIFTY,10875
40,22527.65,2025-03-12 09:55:00,NFO,27-MAR-2025,22540.0,22521.0,22540.0,17643675,Futures,NIFTY,13050
